Geni id,Geni profile name,BH database URL,BH theme,BH floor,BH location,Wikipedia URL
profile-34662923254,Dustin Lee Hoffman,,Cinema & Television,,,
profile-59280731,Goldie Hawn,,Cinema & Television,,,
profile-13398368,Judy Holliday,,Cinema & Television,,,
profile-34722117306,Arthur Penn,,Cinema & Television,,,
profile-72785356,Michael Douglas,,Cinema & Television,,,
profile-34757884987,Idan Raichel,,Popular Music,,,
profile-109822811,Howard Leslie Shore,,Popular Music,,,
profile-34739660905,Frederick Loewe,,Popular Music,,,
profile-34757838403,Moisei Ginzburg,,Architecture,,,
profile-34757840141,Dick Lester,,,,,
profile-34657013786,Carl Laemmle,,Cinema & Television,,,
profile-34757840950,Todd Solondz,,Cinema & Television,,,
profile-34716232586,Alexander Hilary (Alex) Kurtzman,,Cinema & Television,,,
profile-34702974307,Simon David Kinberg,,Cinema & Television,,,
profile-34757841098,Samuel Fuller,,Cinema & Television,,,
profile-34642033905,Sam Mendes,,Cinema & Television,,,
profile-34757840442,Moshé Mizrahi,,Cinema & Television,,,
profile-34677488648,Michael Mann,,Cinema & Television,,,
profile-34757839743,John David Landis,,Cinema & Television,,,
profile-34757839162,James Lawrence Brooks,,Cinema & Television,,,
profile-34667752262,Michael Benjamin Bay,,Cinema & Television,,,
profile-34757838917,Richard Kauffmann,,Architecture,,,
profile-34660835790,Martha Schwartz,,Architecture,,,
profile-34757838628,Peter Stephen Paul Brook,,Theatre,,,
profile-48660338,Ron Arad,,Architecture,,,
profile-34757837717,Lesley Gore,,Popular Music,,,
profile-34757647251,Leila Mourad,,Popular Music,,,
profile-23682894,"Achinoam Nini, Noa",,Popular Music,,,
profile-34690262828,Rachel Bloom,,Cinema & Television,,,
profile-88621327,Zooey Deschanel,,Cinema & Television,,,
profile-34622385453,"Sammy Davis, Jr.",,Cinema & Television,,,
profile-72785338,Kirk Douglas,,Cinema & Television,,,
profile-81749581,"Robert Downey, Jr.",,Cinema & Television,,,
profile-86989449,Maggie Gyllenhaal,,Cinema & Television,,,
profile-86989337,Jake Gyllenhaal,,Cinema & Television,,,
profile-34625633749,Jeff Goldblum,,Cinema & Television,,,
profile-89676366,Elliot Gould,,Cinema & Television,,,
profile-72657591,Albert Warner,,,,,
profile-82105945,Scarlett Johansson,,Cinema & Television,,,
profile-29443613,Gal Gadot,,Cinema & Television,,,
profile-34656563370,Milton Berle,,Cinema & Television,,,
profile-23389849,Patrick BRUEL,,Cinema & Television,,,
profile-6591394,Lauren Bacall,,Cinema & Television,,,
profile-34658061140,Alan Arkin,,Cinema & Television,,,
profile-34680484266,Jesse Eisenberg,,Cinema & Television,,,
profile-102789668,Irving Grant Thalberg,,Cinema & Television,,,
profile-85575093,Sir Alexander Korda,,Cinema & Television,,,
profile-28233287,Adolph Zukor,,Cinema & Television,,,
profile-34625671691,Jesse L. Lasky,,Cinema & Television,,,
profile-34649947128,Stephen Frears,,Cinema & Television,,,
profile-28625924,Marcus Loew,,Cinema & Television,,,
profile-34621241827,Harry Cohn,,Cinema & Television,,,
profile-72655971,Harry Warner,,Cinema & Television,,,
profile-34657455204,Judd Apatow,,Cinema & Television,,,
profile-34629974264,J. J. Abrams,,Cinema & Television,,,
profile-34684425462,John Schlesinger,,Cinema & Television,,,
profile-34654222640,Stanley Kramer,,Cinema & Television,,,
profile-34659803092,David Cronenberg,,Cinema & Television,,,
profile-34698871188,Lawrence Kasdan,,Cinema & Television,,,
profile-87782496,Michael Curtiz,,Cinema & Television,,,
profile-82879559,Stanley Kubrick,,Cinema & Television,,,
profile-41560164,Otto Preminger,,Cinema & Television,,,
profile-34626887458,Roman Thierry Polanski,,Cinema & Television,,,
profile-110680213,Sydney Pollack,,Cinema & Television,,,
profile-34646753395,Donald Siegel,,Cinema & Television,,,
profile-34633285263,Mike Nichols,,Cinema & Television,,,
profile-34665873273,Joseph Leo Mankiewicz,,Cinema & Television,,,
profile-129367752,Jean-Pierre Melville,,Cinema & Television,,,
profile-34659210562,"Irwin Lawrence ""Paul"" Mazursky",,Cinema & Television,,,
profile-34694502697,Max Ophuls,,Cinema & Television,,,
profile-34666814164,Elisabeth Ella Ettel Czinner,,,,,
profile-2836899,Mike Leigh,,Cinema & Television,,,
profile-34661266601,Sidney Arthur Lumet,,Cinema & Television,,,
profile-34713170767,Stanley Donen,,Cinema & Television,,,
profile-34658481313,Barry Levinson,,Cinema & Television,,,
profile-34664674200,Ethan Jesse Coen,,Cinema & Television,,,
profile-34664674192,Joel David Coen,,Cinema & Television,,,
profile-34666804621,Fred Zinnemann,,Cinema & Television,,,
profile-34653594463,Billy Wilder,,Cinema & Television,,,
profile-72188231,William Wyler,,Cinema & Television,,,
profile-116549961,Jules Dassin,,Cinema & Television,,,
profile-129591213,Cecil B. DeMille,,Cinema & Television,,,
profile-34627835122,Nora Ephron,,Cinema & Television,,,
profile-34713837884,Marcel Ophuls,,Cinema & Television,,,
profile-118425545,Sarah Bernhardt,,,,,
profile-74058935,Max Reinhardt,,Theatre,,,
profile-65247047,Arthur Miller,,Theatre,,,
profile-34633562075,David Alan Mamet,,Theatre,,,
profile-34659387233,Hanoch Levin,,Theatre,,,
profile-33164084,Louis* Isadore Kahn,,Architecture,,,
profile-34646881606,Moshe Safdie,,Architecture,,,
profile-85302050,Erich Mendelsohn,,Architecture,,,
profile-34667763630,Robert Moses,,Architecture,,,
profile-34665388996,Richard Meier,,Architecture,,,
profile-109223411,Daniel Libeskind,,Architecture,,,
profile-37547491,Frank Owen Gehry,,Architecture,,,
profile-34721938915,Mark Ronson,,Popular Music,,,
profile-34663830461,Alan Freed,,Popular Music,,,
profile-34678127431,Mark Reed Levin,,Popular Music,,,
profile-11702536,Jerry Wexler,,Popular Music,,,
profile-34680375894,David Lawrence Geffen,,Popular Music,,,
profile-109566192,Brian Epstein,,Popular Music,,,
profile-89555261,Joey Ramone,,Popular Music,,,
profile-34646220778,Lou Reed,,Popular Music,,,
profile-91509533,Mark Knopfler,,Popular Music,,,
profile-27504097,Carole King,,Popular Music,,,
profile-34666681203,"David ""Dudu"" Fisher",,Popular Music,,,
profile-34659003978,Pink,,Popular Music,,,
profile-34661420252,Gene Simmons,,Popular Music,,,
profile-25271254,Carly Simon,,Popular Music,,,
profile-34666230984,Art Garfunkel,,Popular Music,,,
profile-103416078,Paul Simon,,Popular Music,,,
