Geni id,Geni profile name,BH database URL,Ushi,BH theme,BH floor,BH location,,Wikipedia URL,Notes,RANDY,,
6000000010972163831,Nechama Leibowitz,,,Humanities & Religion,3,Breaking Through (Glass walls),,"הוספתי פרופיל בעברית, צורפה לרשימת BH",DONE,,,
6000000037181636817,Regina Jonas,,"נשים פורצות דרך, לייבלים קירות",Humanities & Religion,3,Breaking Through (Glass walls),,"הוספתי עברית, צורפה לרשימת ה-BH",DONE,,,
profile-72679991,Susan Sontag,,,Humanities & Religion,3,Breaking Through (Glass walls),,,,,,
profile-34646839964,Ruth Bader Ginsburg,,"יהודים בתרבות העולם, לייבלים מורחבים",Law,3,Breaking Through (Glass walls),,,,,,
6000000019990869046,Berthe Bénichou-Aboulker,,"נשים פורצות דרך, לייבלים קירות",Literature & Poetry,3,Breaking Through (Glass walls),,"יש פרופיל, אין שום דבר בעברית, צורפה ל-BH",DONE no Hebrew ,,,
6000000029471085411,Erica Jong,,,Literature & Poetry,3,Breaking Through (Glass walls),,"יש פרופיל, הוספתי עברית, צורפה ל-BH",DONE,,,
profile-121300901,Gertrude Stein,,"שפות, תרבות ואמנות, ספרות יהודית, הספריה",Literature & Poetry,3,Breaking Through (Glass walls),,,,,,
6000000024597690994,Grace Aguilar,,,Literature & Poetry,3,Breaking Through (Glass walls),,"יש פרופיל, הוספתי עברית, צורפה ל-BH",DONE,,,
profile-92615048,Gloria Steinem,,"נשים פורצות דרך, לייבלים קירות",Humanities & Religion,3,Breaking Through (Glass walls),,,,,,
profile-38838132,Nadine Gordimer,," נשים פורצות דרך, לייבלים קירות",Literature & Poetry,3,Breaking Through (Glass walls),,,,,,
6000000038413418469,Ruth Prawer Jhabvala,,,Literature & Poetry,3,Breaking Through (Glass walls),,"יש פרופיל בג'ני, צורפה ל-BH",DONE,,,
profile-89675648,Barbra Streisand,,"אמנויות הבימה, קולנוע, האם בהוליווד יש קולנוע יהודי? קומה 3, יהודים בתרבות העולם, קיר ירמי פינקוס",Popular Music,3,Breaking Through (Glass walls),,,,,,
6000000122726560083,Naomi R. Wolf,,,Press & Media,3,Breaking Through (Glass walls),,"יש פרופיל בג'ני, עוד ברדימה הישנה צורפה ל-BH",old list,,,
profile-13750446293,Ada Yonath,,"נשים פורצות דרך, לייבלים קירות",Science,3,Breaking Through (Glass walls),,,,,,
profile-34633126034,Rita Levi-Montalcini,,"נשים פורצות דרך, לייבלים על הקירות, קומה 3, יהודים בתרבות העולם, קיר ירמי פינקוס",Science,3,Breaking Through (Glass walls),,,,,,
profile-93508788,Rosalind Elsie Franklin,,,Science,3,Breaking Through (Glass walls),,,,,,
6000000029392359494,Rosalyn Sussman Yalow,,,Science,3,Breaking Through (Glass walls),,הוספתי עברית וצרפתי לרשימת ה-BH,,DONE,,
profile-129249095,Agnes Keleti,,,Sports,3,Breaking Through (Glass walls),,,,,,
profile-36649681,Irena Szewińska,,,Sports,3,Breaking Through (Glass walls),,,,,,
profile-118425545,Sarah Bernhardt,,"אמנויות הבימה, תיאטרון, כל העולם בימה, 3.5.2.5",Cinema & Television,3,Breaking Through (Glass walls),,,,,,
profile-41381678,Golda Meir ,,"נשים פורצות דרך, לייבלים על הקירות",Diplomacy,3,Breaking Through (Glass walls),,,,,,
profile-26179409,Rosa Gintzberg-Ginossar,,"נשים פורצות דרך, לייבלים על הקירות",Diplomacy,3,Breaking Through (Glass walls),,,,,,
profile-82518745,Emma Lazarus,,"שפות תרבות ואמנות, ספרות יהודית, הספריה",Literature & Poetry,3,Breaking Through (Glass walls),,,,,,
profile-34713876502,Judith Pamela Butler,,,Humanities & Religion,3,Breaking Through (Glass walls),,,,,,
profile-34672304535,Yolande Harmer,,"נשים פורצות דרך, לייבלים על הקירות",Press & Media,3,Breaking Through (Glass walls),,,,,,
6000000001602253262,Helena Rubinstein,,"יהודים בתרבות העולם, קיר ירמי פינקוס",Economics,3,Breaking Through (Glass walls),,"כפול, יש כבר פרופיל שהוצמד ל-BH",,,old list,
6000000005021352020,Anna Freud,,,Science,3,Breaking Through (Glass walls),,"יש פרופיל, הוספתי עברית, צורפה ל-BH",DONE,,,
6000000010299740046,Naomi Klein,,,Humanities & Religion,3,Breaking Through (Glass walls),,"יש פרופיל, הוספתי עברית, צורפה ל-BH",DONE,,,
6000000025608083237,Judith Resnik,,,Other,3,Breaking Through (Glass walls),,"יש פרופיל, הוספתי עברית, צורפה ל-BH",DONE,,,
6000000151328598896,Alice Shalvi,,"נשים פורצות דרך, לייבלים על הקירות",Humanities & Religion,3,Breaking Through (Glass walls),,"יש פרופיל, הוספתי עברית, צורפה ל-BH",Geni user,,,
6000000151328799829,Hélène Cixous,,"יהודים בתרבות העולם, ירמי פינקוס",Humanities & Religion,3,Breaking Through (Glass walls),,"יש פרופיל, הוספתי עברית, צורפה ל-BH",Geni user,,,
profile-115924431,Emma Goldman,,"נשים פורצות דרך, לייבלים קירות",Diplomacy,3,Breaking Through (Glass walls),,,,,,
profile-34643303919,Fiamma Nirenstein,,"נשים פורצות דרך, לייבלים קירות",Diplomacy,3,Breaking Through (Glass walls),,,,,,
profile-34711794524,Shoshana Almuzlino,,,Diplomacy,3,Breaking Through (Glass walls),,,,,,
profile-34721337020,Anna Kuliscioff,,"נשים פורצות דרך, לייבלים קירות",Diplomacy,3,Breaking Through (Glass walls),,,,,,
profile-88457824,Flora Sassoon,,"נשים פורצות דרך, לייבלים קירות",Other,3,Breaking Through (Glass walls),,,,,,
6000000004389081993,Siona Tagger,,,Visual Art,3,Art Mix (Led Screens),,"יש פרופיל בג'ני הוספתי עברית, צורפה ל-BH",,DONE,,
6000000008550012105,Charlotte Gainsbourg,,,Popular Music,3,Jukebox,,"יש פרופיל, הוספתי עברית, בקשתי לצרפה ל-BH",DONE(request),,,
6000000016560135345,Ofra Haza,,"אמנויות הבימה, מוזיקה, האם יש רוק יהודי? ",Popular Music,3,Jukebox,,יש פרופיל - צורפה לרשימת ה-BH,DONE,,,
6000000038238213498,Charlotte Salomon,,,Visual Art,3,Art Mix (Led Screens),,"יש פרופיל, הוספתי עברית, בקשתי לצרפה ל-BH",DONE(request),,,
6000000102228549844,Saul Raskin,,,Visual Art,3,Art Mix (Led Screens),,"יש פרופיל בג'ני, הוספתי עברית, בקשתי לצרפו ל-BH",,DONE,,
6000000165153989584,Barnett Newman,,,Visual Art,3,Art Mix (Led Screens),,https://en.wikipedia.org/wiki/Barnett_Newman,Not on Geni,#,,
6000000165157126066,Nurit Galron,,,Popular Music,3,Jukebox,,פרופיל פרטי - שלחתי הזמנה ל-BH נראה אם תסכים,Private profile,,,
profile-34646881606,Moshe Safdie,,,Architecture,3,Jews in World Culture and Science,,,,,,
profile-34757838917,Richard Kauffmann,,,Architecture,3,Jews in World Culture and Science,,,,,,
profile-34665388996,Richard Meier,,,Architecture,3,Jews in World Culture and Science,,,,,,
profile-34667763630,Robert Moses,,,Architecture,3,Jews in World Culture and Science,,,,,,
profile-48660338,Ron Arad,,,Architecture,3,Jews in World Culture and Science,,,,,,
profile-34678659546,Aaron Sorkin,,,Cinema & Television,3,Jews in World Culture and Science,,https://en.wikipedia.org/wiki/Aaron_Sorkin,,,,
profile-22068911,Aaron Spelling,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-26552055293,Adam Sandler,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-28233287,Adolph Zukor,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34658061140,Alan Arkin,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34722117306,Arthur Penn,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-34658481313,Barry Levinson,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-123122958,Ben Elton,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
profile-128730958,Ben Stiller,,,Cinema & Television,3,Jews in World Culture and Science,,,,,,
